date;Plant number;Truss number;Brix (Number);Diameter of fruits (mm);Weight per fruit (gr); Number of fruits (Number);Fresh weight (gr)
02/05/2019;605;8;;;;8;286
02/05/2019;606;7;10,2;42;;8;294
02/05/2019;606;8;;;;8;323
02/05/2019;607;8;;;;8;325
02/05/2019;607;9;;;;8;346
02/05/2019;608;7;;;;8;265
02/05/2019;608;8;;;;6;279
02/05/2019;609;7;;;;8;319
02/05/2019;609;8;;;;7;326
02/05/2019;610;7;11,5;43;;8;358
02/05/2019;610;8;;;;8;358
02/05/2019;611;7;10,8;43;;8;302
02/05/2019;611;8;;;;8;327
09/05/2019;401;10;9;32;;13;124
09/05/2019;406;11;7,9;34;;10;157
09/05/2019;407;11;7,3;32;;8;101
09/05/2019;410;10;7,8;32;;10;152
09/05/2019;411;11;7,9;33;;11;212
09/05/2019;500;5;4,3;;;5;496
09/05/2019;501;7;3,8;41;;5;347
09/05/2019;504;5;;;;2;228
09/05/2019;504;6;4,4;51;;2;277
09/05/2019;505;6;;;;4;499
09/05/2019;508;5;3,8;44;;4;368
09/05/2019;508;6;4,6;53;;4;437
09/05/2019;509;5;4,2;40;;5;517
09/05/2019;600;9;9,6;46;;8;405
09/05/2019;601;9;;;;7;349
09/05/2019;603;9;6,3;45;;8;364
09/05/2019;605;9;6;40;;7;264
09/05/2019;606;9;;;;7;370
09/05/2019;609;9;;;;7;331
09/05/2019;610;9;6,7;48;;8;415
09/05/2019;611;9;6;50;;8;383
16/05/2019;300;5;4,3;73;;7;910
16/05/2019;301;7;4,3;62;;6;690
16/05/2019;306;7;5,2;63;;6;778
16/05/2019;307;7;;;;6;725
16/05/2019;309;6;4,5;63;;6;682
16/05/2019;311;7;4,2;65;;6;787
16/05/2019;400;12;;;;12;203
16/05/2019;401;11;;;;12;176
16/05/2019;401;12;;;;12;167
16/05/2019;402;11;;;;12;254
16/05/2019;402;12;;;;12;230
16/05/2019;403;12;7,5;34;;13;242
16/05/2019;403;13;;;;11;227
16/05/2019;404;11;;;;13;214
16/05/2019;404;12;8,1;32;;13;215
16/05/2019;404;13;;;;12;194
16/05/2019;405;11;;;;12;211
16/05/2019;405;12;7,4;34;;10;183
16/05/2019;406;12;;;;12;210
16/05/2019;407;12;;;;12;213
16/05/2019;407;13;;;;12;226
16/05/2019;408;11;;;;11;224
16/05/2019;408;12;;;;12;240
16/05/2019;409;12;;;;14;267
16/05/2019;409;13;;;;11;253
16/05/2019;410;12;9;33;;13;244
16/05/2019;411;12;9,9;34;;11;221
16/05/2019;411;13;;;;11;220
16/05/2019;501;8;4,1;55;;6;616
16/05/2019;503;6;4,2;53;;6;657
16/05/2019;506;5;;;;7;546
16/05/2019;506;6;4,3;50;;6;578
16/05/2019;507;6;4,5;55;;6;606
16/05/2019;509;6;4,5;57;;6;740
16/05/2019;510;6;;;;4;466
16/05/2019;511;6;;;;6;736
16/05/2019;600;10;;;;8;424
16/05/2019;601;10;6,4;46;;7;321
16/05/2019;602;10;6,7;48;;8;404
16/05/2019;603;10;;;;8;358
16/05/2019;604;10;;;;8;370
16/05/2019;605;10;6,1;46;;8;338
16/05/2019;606;10;;;;8;382
16/05/2019;607;10;;;;8;370
16/05/2019;608;9;;;;8;293
16/05/2019;608;10;;;;7;252
16/05/2019;609;10;6,5;48;;8;385
16/05/2019;610;10;6,5;50;;8;399
16/05/2019;611;10;;;;8;384
23/05/2019;300;6;;;;6;615
23/05/2019;301;8;;;;6;737
23/05/2019;302;5;;;;5;444
23/05/2019;302;6;;;;6;546
23/05/2019;302;7;4,7;61;117;6;629
23/05/2019;303;7;4,5;65;121;6;745
23/05/2019;303;8;;;;6;629
23/05/2019;304;7;;;;6;775
23/05/2019;304;8;;;;6;999
23/05/2019;304;9;;;;6;787
23/05/2019;305;6;;;;6;680
23/05/2019;305;7;4,2;60;109;6;654
23/05/2019;306;8;;;;5;775
23/05/2019;306;9;;;;6;743
23/05/2019;307;8;;;;6;770
23/05/2019;308;8;;;;6;561
23/05/2019;309;7;4,6;62;113;6;653
23/05/2019;310;7;4,6;67;147;6;767
23/05/2019;310;8;;;;6;695
23/05/2019;311;6;;;;6;754
23/05/2019;311;8;;;;6;727
23/05/2019;400;13;;;;14;271
23/05/2019;400;14;8,6;33;19;13;218
23/05/2019;401;13;;;;10;162
23/05/2019;402;13;;;;13;227
23/05/2019;402;14;8,3;33;17;13;217
23/05/2019;403;14;;;;13;235
23/05/2019;404;14;8,1;32;16;13;204
23/05/2019;405;13;;;;12;200
23/05/2019;406;13;;;;14;235
23/05/2019;407;14;;;;14;236
23/05/2019;408;13;;;;13;247
23/05/2019;408;14;;;;13;244
23/05/2019;409;14;8,4;35;21;13;257
23/05/2019;410;13;;;;12;236
23/05/2019;410;14;7,9;33;19;12;239
23/05/2019;411;14;;;;14;281
23/05/2019;500;7;4,4;57;112;6;695
23/05/2019;500;8;;;;6;731
23/05/2019;501;8;;;;6;632
23/05/2019;502;6;;;;6;699
23/05/2019;502;7;4,8;60;141;6;835
23/05/2019;503;7;;;;4;550
23/05/2019;503;8;;;;6;747
23/05/2019;504;7;4,7;55;100;6;635
23/05/2019;504;8;;;;6;599
23/05/2019;505;8;;;;6;686
23/05/2019;506;7;;;;5;559
23/05/2019;507;7;;;;6;710
23/05/2019;508;8;;;;5;623
23/05/2019;509;7;4,5;57;118;5;638
23/05/2019;509;8;;;;6;732
23/05/2019;510;7;4,1;60;130;6;771
23/05/2019;510;8;;;;6;753
23/05/2019;511;7;;;;6;723
23/05/2019;511;8;;;;6;703
23/05/2019;600;11;6,9;47;50;8;388
23/05/2019;600;12;;;;6;321
23/05/2019;601;11;;;;7;285
23/05/2019;602;11;;;;8;387
23/05/2019;602;12;;;;6;279
23/05/2019;603;11;7,3;48;48;8;323
23/05/2019;604;11;;;;8;355
23/05/2019;604;12;;;;7;325
23/05/2019;605;11;;;;7;277
23/05/2019;606;11;;;;6;362
23/05/2019;607;11;7;47;47;8;345
23/05/2019;609;11;;;;7;399
23/05/2019;610;11;6,9;49;57;8;389
23/05/2019;611;11;6,7;49;53;8;373
31/05/2019;300;7;;;;6;635
31/05/2019;302;8;4,7;57;99;6;591
31/05/2019;303;9;4,3;62;116;6;654
31/05/2019;304;10;4,5;60;110;6;711
31/05/2019;305;8;3,7;61;124;6;653
31/05/2019;309;8;;;;6;580
31/05/2019;311;9;4;59;108;6;627
31/05/2019;400;15;8;33;17;13;220
31/05/2019;401;14;;;;10;176
31/05/2019;401;15;8;32;16;12;213
31/05/2019;402;15;;;;13;217
31/05/2019;403;15;;;;14;287
31/05/2019;404;15;;;;14;235
31/05/2019;405;14;;;;14;242
31/05/2019;405;15;;;;12;164
31/05/2019;406;14;;;;14;301
31/05/2019;406;15;8,2;32;16;14;278
31/05/2019;407;15;;;;14;267
31/05/2019;408;15;;;;14;322
31/05/2019;409;15;;;;14;294
31/05/2019;410;15;7,6;34;18;13;317
31/05/2019;411;15;8,3;45;20;14;290
31/05/2019;500;9;5,1;61;144;6;745
31/05/2019;501;10;;;;6;630
31/05/2019;502;8;;;;5;654
31/05/2019;503;9;4,6;60;128;6;729
31/05/2019;504;9;;;;6;584
31/05/2019;505;7;;;;6;839
31/05/2019;505;9;5,5;55;115;6;615
31/05/2019;506;8;;;;6;578
31/05/2019;507;9;5,7;58;131;6;849
31/05/2019;507;10;;;;6;635
31/05/2019;508;9;;;;6;668
31/05/2019;510;9;;;;6;708
31/05/2019;511;9;5,3;55;113;6;589
31/05/2019;600;13;7,3;47;48;8;342
31/05/2019;601;12;;;;6;237
31/05/2019;602;13;6,8;47;44;8;354
31/05/2019;603;12;;;;7;278
31/05/2019;603;13;6,8;43;45;7;270
31/05/2019;604;13;;;;7;299
31/05/2019;605;12;;;;8;299
31/05/2019;606;12;;;;8;345
31/05/2019;607;12;;;;8;344
31/05/2019;607;13;6,8;46;44;8;342
31/05/2019;608;11;;;;8;396
31/05/2019;608;12;;;;8;361
31/05/2019;609;12;;;;8;363
31/05/2019;609;13;6;48;49;7;342
31/05/2019;610;12;;;;8;393
31/05/2019;611;12;;;;7;316
