row_number,plant_number,date,truss_number,brix,diameter,fruit_number,weight,total_sap,total_sap_mean,week_before_sap,week_before_sap_mean,week_after_sap,week_after_sap_mean
132,510,2019-04-03 00:00:00,1,,,6.0,719.0,54895.674000000006,885.4140967741937,8952.873,1119.109125,9735.666,1216.95825
133,511,2019-04-03 00:00:00,1,4.7,57.0,7.0,727.0,54895.674000000006,885.4140967741937,8952.873,1119.109125,9735.666,1216.95825
133,511,2019-04-03 00:00:00,2,,,5.0,546.0,54895.674000000006,885.4140967741937,8952.873,1119.109125,9735.666,1216.95825
134,600,2019-04-03 00:00:00,4,6.0,49.0,8.0,374.0,34627.128,558.5020645161289,5547.420999999999,693.4276249999999,21149.43,2643.67875
135,601,2019-04-03 00:00:00,3,,,10.0,404.0,34627.128,558.5020645161289,5547.420999999999,693.4276249999999,21149.43,2643.67875
135,601,2019-04-03 00:00:00,4,,,7.0,321.0,34627.128,558.5020645161289,5547.420999999999,693.4276249999999,21149.43,2643.67875
136,602,2019-04-03 00:00:00,4,6.9,45.0,8.0,349.0,34627.128,558.5020645161289,5547.420999999999,693.4276249999999,21149.43,2643.67875
137,603,2019-04-03 00:00:00,4,,,7.0,369.0,34627.128,558.5020645161289,5547.420999999999,693.4276249999999,21149.43,2643.67875
138,604,2019-04-03 00:00:00,4,,,8.0,341.0,34627.128,558.5020645161289,5547.420999999999,693.4276249999999,21149.43,2643.67875
139,605,2019-04-03 00:00:00,3,,,8.0,319.0,34627.128,558.5020645161289,5547.420999999999,693.4276249999999,21149.43,2643.67875
139,605,2019-04-03 00:00:00,4,,,7.0,365.0,34627.128,558.5020645161289,5547.420999999999,693.4276249999999,21149.43,2643.67875
140,606,2019-04-03 00:00:00,4,6.7,44.0,6.0,248.0,40207.498999999996,670.1249833333333,7242.039,905.254875,7913.8989999999985,989.2373749999998
141,607,2019-04-03 00:00:00,4,,,8.0,354.0,40207.498999999996,670.1249833333333,7242.039,905.254875,7913.8989999999985,989.2373749999998
142,608,2019-04-03 00:00:00,4,5.9,48.0,7.0,345.0,40207.498999999996,670.1249833333333,7242.039,905.254875,7913.8989999999985,989.2373749999998
143,609,2019-04-03 00:00:00,4,,,8.0,350.0,40207.498999999996,670.1249833333333,7242.039,905.254875,7913.8989999999985,989.2373749999998
144,610,2019-04-03 00:00:00,4,6.2,50.0,8.0,407.0,40207.498999999996,670.1249833333333,7242.039,905.254875,7913.8989999999985,989.2373749999998
145,611,2019-04-03 00:00:00,4,,,6.0,253.0,40207.498999999996,670.1249833333333,7242.039,905.254875,7913.8989999999985,989.2373749999998
146,300,2019-04-10 00:00:00,2,3.7,63.0,6.0,659.0,49746.961,720.9704492753624,10776.41,1347.05125,8850.448,1106.306
147,301,2019-04-10 00:00:00,2,,,6.0,749.0,49746.961,720.9704492753624,10776.41,1347.05125,8850.448,1106.306
148,302,2019-04-10 00:00:00,2,,,6.0,738.0,49746.961,720.9704492753624,10776.41,1347.05125,8850.448,1106.306
149,303,2019-04-10 00:00:00,2,,,6.0,917.0,49746.961,720.9704492753624,10776.41,1347.05125,8850.448,1106.306
150,304,2019-04-10 00:00:00,2,4.0,67.0,6.0,882.0,49746.961,720.9704492753624,10776.41,1347.05125,8850.448,1106.306
151,305,2019-04-10 00:00:00,2,,,6.0,832.0,49746.961,720.9704492753624,10776.41,1347.05125,8850.448,1106.306
152,306,2019-04-10 00:00:00,2,4.1,59.0,6.0,683.0,38013.885,550.9258695652175,5632.133,704.016625,4827.608,603.451
153,307,2019-04-10 00:00:00,2,3.6,53.0,5.0,514.0,38013.885,550.9258695652175,5632.133,704.016625,4827.608,603.451
154,308,2019-04-10 00:00:00,2,4.1,68.0,6.0,875.0,38013.885,550.9258695652175,5632.133,704.016625,4827.608,603.451
163,405,2019-04-10 00:00:00,4,8.1,35.0,14.0,352.0,56432.583000000006,817.8635217391305,10241.904999999999,1280.2381249999999,9010.463,1126.307875
164,406,2019-04-10 00:00:00,5,7.2,,14.0,282.0,56432.583000000006,817.8635217391305,10241.904999999999,1280.2381249999999,9010.463,1126.307875
165,407,2019-04-10 00:00:00,5,,,14.0,499.0,56432.583000000006,817.8635217391305,10241.904999999999,1280.2381249999999,9010.463,1126.307875
166,408,2019-04-10 00:00:00,5,8.2,,13.0,305.0,56432.583000000006,817.8635217391305,10241.904999999999,1280.2381249999999,9010.463,1126.307875
167,409,2019-04-10 00:00:00,5,8.0,,13.0,231.0,56432.583000000006,817.8635217391305,10241.904999999999,1280.2381249999999,9010.463,1126.307875
168,410,2019-04-10 00:00:00,6,7.7,,12.0,260.0,56432.583000000006,817.8635217391305,10241.904999999999,1280.2381249999999,9010.463,1126.307875
170,500,2019-04-10 00:00:00,2,4.6,60.0,6.0,664.0,63417.490000000005,919.0940579710145,9735.666,1216.95825,8687.108,1085.8885
172,502,2019-04-10 00:00:00,2,4.5,61.0,4.0,538.0,63417.490000000005,919.0940579710145,9735.666,1216.95825,8687.108,1085.8885
173,503,2019-04-10 00:00:00,2,,,6.0,708.0,63417.490000000005,919.0940579710145,9735.666,1216.95825,8687.108,1085.8885
174,504,2019-04-10 00:00:00,2,,,6.0,623.0,63417.490000000005,919.0940579710145,9735.666,1216.95825,8687.108,1085.8885
175,505,2019-04-10 00:00:00,2,4.5,57.0,6.0,674.0,63417.490000000005,919.0940579710145,9735.666,1216.95825,8687.108,1085.8885
177,507,2019-04-10 00:00:00,2,4.4,60.0,6.0,742.0,63417.490000000005,919.0940579710145,9735.666,1216.95825,8687.108,1085.8885
178,508,2019-04-10 00:00:00,2,4.5,57.0,6.0,773.0,63417.490000000005,919.0940579710145,9735.666,1216.95825,8687.108,1085.8885
